# Table
# meta={"__class__": "Table", "column_dtypes": {"name": "|O", "phi_rad_ccs": "<f8", "psi_rad_ccs": "<f8", "theta_gon_ccs": "<f8", "theta_rad": "<f8", "x_ccs": "<f8", "y_ccs": "<f8", "z_ccs": "<f8"}, "xtrack_version": "0.112.0"}
name,x_ccs,y_ccs,z_ccs,theta_gon_ccs,phi_rad_ccs,psi_rad_ccs,theta_rad
mqnfb.x0610292.d,731.3398717284649,4893.80610241836,2443.645649123158,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610328.u,737.7790253636144,4927.189334851775,2443.9572462340316,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610328.d,738.1577991068585,4929.153054406682,2443.9755754758476,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610364.u,744.596952742008,4962.536286840097,2444.287172586721,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610364.d,744.9757264852522,4964.500006395004,2444.305501828537,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610400.u,751.4148801204017,4997.883238828419,2444.617098939411,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610400.d,751.7936538636458,4999.846958383326,2444.635428181227,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610436.u,758.2328074987953,5033.230190816741,2444.9470252921005,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610436.d,758.6115812420394,5035.193910371648,2444.9653545339165,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610472.u,765.0507348771889,5068.577142805063,2445.27695164479,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610472.d,765.429508620433,5070.54086235997,2445.295280886606,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610508.u,771.8686622555825,5103.924094793385,2445.60687799748,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610508.d,772.2474359988266,5105.887814348292,2445.625207239296,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xvw.x0610543.u,778.5824140366911,5138.730957450856,2445.9317631883996,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xvw.x0610543.d,778.5824329753783,5138.731055636834,2445.9317641048615,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xwcm.x0610543.u,778.5843207233003,5138.740842501882,2445.931855454879,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xwcm.x0610543.d,778.6032594104624,5138.839028479628,2445.93277191697,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xvw.x0610544.u,778.6392300981778,5139.025515384093,2445.9345125746718,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xvw.x0610544.d,778.639249036865,5139.02561357007,2445.9345134911337,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610544.u,778.6865896339762,5139.271046781708,2445.9368043501695,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610544.d,779.0653633772203,5141.2347663366145,2445.9551335919855,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610580.u,785.5045170123698,5174.61799877003,2446.266730702859,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610580.d,785.8832907556139,5176.581718324936,2446.285059944675,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610616.u,792.3224443907634,5209.964950758352,2446.596657055549,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610616.d,792.7012181340075,5211.928670313258,2446.614986297365,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xvw.x0610649.u,798.7331771772767,5243.200837771898,2446.9068788530158,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xvw.x0610649.d,798.7331961159639,5243.200935957875,2446.9068797694777,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xwcm.x0610649.u,798.7350838638858,5243.210722822923,2446.906971119495,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xwcm.x0610649.d,798.754022551048,5243.308908800669,2446.9078875815862,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xvw.x0610650.u,798.7899932387634,5243.495395705134,2446.909628239288,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xvw.x0610650.d,798.7900121774505,5243.495493891111,2446.90962915575,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mdpx.x0610650.u,798.8373527745617,5243.740927102749,2446.9119200147857,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
