overlap_length,overlap_order,overlapping_pipe_positions,s_start,s_end
6.220073702279478,2,VEBA.22370[SPVEBA_; ref=mba.22370; s=1904.39933936->1911.05942112; length=6.66008175947; span_s=1904.39933936->1911.05982363; span=6.66048426813] | MBA.22370[SPMBA__; ref=mba.22370; s=1904.61333936->1910.83341306; length=6.22007370228; span_s=1904.61333744->1910.83379135; span=6.2204539154],1904.6133393590026,1910.833413061282
6.220073702279478,2,VEBA.53030[SPVEBA_; ref=mba.53030; s=5570.86283668->5577.52291844; length=6.66008175947; span_s=5570.86283668->5577.52332095; span=6.66048426813] | MBA.53030[SPMBA__; ref=mba.53030; s=5571.07683668->5577.29691038; length=6.22007370228; span_s=5571.07683476->5577.29728867; span=6.2204539154],5571.076836679003,5577.296910381282
6.220073702279478,2,VEBA.60250[SPVEBA_; ref=mba.60250; s=5833.5050749->5840.16515666; length=6.66008175947; span_s=5833.5050749->5840.16555917; span=6.66048426813] | MBA.60250[SPMBA__; ref=mba.60250; s=5833.7190749->5839.9391486; length=6.22007370228; span_s=5833.71907298->5839.93952689; span=6.2204539154],5833.719074899002,5839.939148601282
6.220073702279251,2,VEBA.13390[SPVEBA_; ref=mba.13390; s=1079.11743414->1085.7775159; length=6.66008175947; span_s=1079.11743414->1085.77791841; span=6.66048426813] | MBA.13390[SPMBA__; ref=mba.13390; s=1079.33143414->1085.55150784; length=6.22007370228; span_s=1079.33143222->1085.55188613; span=6.2204539154],1079.3314341390026,1085.5515078412818
6.220073702279251,2,VEBA.20850[SPVEBA_; ref=mba.20850; s=1417.81294642->1424.47302818; length=6.66008175947; span_s=1417.81294642->1424.47343069; span=6.66048426813] | MBA.20850[SPMBA__; ref=mba.20850; s=1418.02694642->1424.24702012; length=6.22007370228; span_s=1418.0269445->1424.24739841; span=6.2204539154],1418.026946419003,1424.2470201212823
6.220073702279251,2,VEBA.21570[SPVEBA_; ref=mba.21570; s=1648.4174686->1655.07755036; length=6.66008175947; span_s=1648.4174686->1655.07795287; span=6.66048426813] | MBA.21570[SPMBA__; ref=mba.21570; s=1648.6314686->1654.8515423; length=6.22007370228; span_s=1648.63146668->1654.85192059; span=6.2204539154],1648.6314685990028,1654.851542301282
6.220073702279251,2,VEBA.21590[SPVEBA_; ref=mba.21590; s=1655.07748794->1661.7375697; length=6.66008175947; span_s=1655.07748794->1661.73797221; span=6.66048426813] | MBA.21590[SPMBA__; ref=mba.21590; s=1655.29148794->1661.51156164; length=6.22007370228; span_s=1655.29148602->1661.51193993; span=6.2204539154],1655.291487939003,1661.5115616412822
6.220073702279251,2,VEBA.22050[SPVEBA_; ref=mba.22050; s=1801.78602662->1808.44610838; length=6.66008175947; span_s=1801.78602662->1808.44651089; span=6.66048426813] | MBA.22050[SPMBA__; ref=mba.22050; s=1802.00002662->1808.22010032; length=6.22007370228; span_s=1802.0000247->1808.22047861; span=6.2204539154],1802.0000266190027,1808.220100321282
6.220073702279251,2,VEBA.22390[SPVEBA_; ref=mba.22390; s=1911.0593587->1917.71944046; length=6.66008175947; span_s=1911.0593587->1917.71984297; span=6.66048426813] | MBA.22390[SPMBA__; ref=mba.22390; s=1911.2733587->1917.4934324; length=6.22007370228; span_s=1911.27335678->1917.49381069; span=6.2204539154],1911.2733586990025,1917.4934324012818
6.220073702279024,2,VEBA.13230[SPVEBA_; ref=mba.13230; s=1027.17959876->1033.83968052; length=6.66008175947; span_s=1027.17959876->1033.84008303; span=6.66048426813] | MBA.13230[SPMBA__; ref=mba.13230; s=1027.39359876->1033.61367246; length=6.22007370228; span_s=1027.39359684->1033.61405075; span=6.2204539154],1027.3935987590025,1033.6136724612816
6.220073702279024,2,VEBA.13250[SPVEBA_; ref=mba.13250; s=1033.8396181->1040.49969986; length=6.66008175947; span_s=1033.8396181->1040.50010237; span=6.66048426813] | MBA.13250[SPMBA__; ref=mba.13250; s=1034.0536181->1040.2736918; length=6.22007370228; span_s=1034.05361618->1040.27407009; span=6.2204539154],1034.0536180990027,1040.2736918012818
6.220073702279024,2,VEBA.13590[SPVEBA_; ref=mba.13590; s=1143.11298886->1149.77307062; length=6.66008175947; span_s=1143.11298886->1149.77347313; span=6.66048426813] | MBA.13590[SPMBA__; ref=mba.13590; s=1143.32698886->1149.54706256; length=6.22007370228; span_s=1143.32698694->1149.54744085; span=6.2204539154],1143.3269888590028,1149.5470625612818
6.220073702279024,2,VEBA.20030[SPVEBA_; ref=mba.20030; s=1155.1707082->1161.83078996; length=6.66008175947; span_s=1155.1707082->1161.83119247; span=6.66048426813] | MBA.20030[SPMBA__; ref=mba.20030; s=1155.3847082->1161.6047819; length=6.22007370228; span_s=1155.38470628->1161.60516019; span=6.2204539154],1155.3847081990025,1161.6047819012815
